Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Heat,1995,88,92852,Michael Mann,"Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while... [More]","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre."
The Raid: Redemption,2011,87,93410,Gareth Huw Evans,"A rookie member of an elite team of commandos, Rama (Iko Uwais) is instructed to hang back while his comrades-in-arms... [More]","Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian","No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment."
Mission: Impossible -- Fallout,2018,97,124607,Christopher McQuarrie,Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions.... [More],"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them."
Raiders of the Lost Ark,1981,96,101804,Steven Spielberg,"Dr. Indiana Jones, a renowned archeologist and expert in the occult, is hired by the U.S. Government to find the... [More]","Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler","Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time."
Aliens,1986,98,104680,James Cameron,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team.... [More]","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver."
Hard-Boiled,1992,94,96401,John Woo,A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In... [More],"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai","Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one."
The Matrix,1999,88,95072,Andy Wachowski,"Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can... [More]","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."
Terminator 2: Judgment Day,1991,93,98123,James Cameron,"In this sequel set eleven years after ""The Terminator,"" young John Connor (Edward Furlong), the key to civilization's victory over... [More]","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."
Die Hard,1988,94,99757,John McTiernan,New York City policeman John McClane (Bruce Willis) is visiting his estranged wife (Bonnie Bedelia) and two daughters on Christmas... [More],"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.
Mad Max: Fury Road,2015,97,114989,George Miller,"Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When... [More]","Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life."
